Name,IP Address,Response,Date
Google,216.58.214.78,traceroute: 18 hops,2018-08-25 04:29:45
Gmail,216.58.205.229,HTTP GET: 200,2018-08-25 04:30:57
ynet,92.123.254.210,ping: 83ms,2018-08-25 04:30:58
YouTube,172.217.18.174,HTTP GET: 200,2018-08-25 04:31:03
Wikipedia,91.198.174.192,ping: 86ms,2018-08-25 04:31:03
Amazon,176.32.98.166,ping: 153ms,2018-08-25 04:31:06
Twitter,104.244.42.193,traceroute: 9 hops,2018-08-25 04:31:13
Netflix,52.51.246.114,ping: No Connection,2018-08-25 04:31:53
Twitch,151.101.130.167,ping: 70ms,2018-08-25 04:32:12
ebay,66.135.216.190,HTTP GET: 200,2018-08-25 04:32:16
