Name,IP Address,Response,Date
Google,172.217.21.238,traceroute: 17 hops,2018-07-20 15:07:40
Gmail,172.217.18.165,traceroute: 19 hops,2018-07-20 15:09:11
ynet,104.83.3.208,ping: 88ms,2018-07-20 15:10:28
YouTube,172.217.22.14,traceroute: 18 hops,2018-07-20 15:10:31
Wikipedia,91.198.174.192,ping: 82ms,2018-07-20 15:11:54
Amazon,176.32.98.166,ping: 166ms,2018-07-20 15:12:01
Twitter,104.244.42.193,traceroute: 7 hops,2018-07-20 15:12:08
Netflix,52.19.113.209,No Connection,2018-07-20 15:12:42
Twitch,151.101.194.167,ping: 78ms,2018-07-20 15:13:01
ebay,66.135.209.52,traceroute: 30 hops,2018-07-20 15:13:04
